Unable to Place Order!! Payment has been failed,Kan ikke behandle bestillingen. Betalingstilladelse lykkedes ikke.
KlarnaCredit Checkout has been canceled.,Din Klarna udcheckning er annulleret.
Unable to cancel Klarna Checkout,Vi kan ikke behandle din annulleringsanmodning med Klarna.
Paypal Checkout has been canceled.,Din PayPal udcheckning er annulleret.
Unable to cancel Paypal Checkout,Vi kan ikke behandle din annulleringsanmodning med PayPal.
Make a payment from your new or existing PayPal account.,Foretag betaling fra din nye eller allerede eksisterende PayPal-konto.
Tax,Afgift
Unable to Place Order,Kan ikke behandle bestillingen
Edit,Redigér
Unable to process,Kan ikke behandle.
ending in,Slutter om
New Card,Nyt kort
Credit Card Number,Kreditkortnummer
Month/Year,Måned/År
Card Security Code,Kortsikkerhedskoden
Payment Instructions,Betalingsoplysninger
Please make your payment now to complete your order.,Udfør din betaling nu for at afslutte din bestilling. 
Provide your bank with the following wire transfer instruction:,"Sørg for, at din bank får følgende instrukser til telegrafisk overførsel:"
Amount:,Beløb:
Wire Transfer Reference Number:,Referencenummer:
Bank:,Bank:
Location:,Adresse:
Account Holder:,Kontohaver:
Account Number:,Kontonummer:
Swift Code:,Swiftkode:
Expiration Time:,Udløbstid
Payment Information,Betalingsoplysninger
Place Your Order,Afgiv bestilling
Saved Cards,Gemte kreditkortkonti
Expiration Date:,Udløbsdato:
Save this card for future use,Gem venligst min konto og mine betalingsoplysninger til brug ved fremtidige køb.
Card Name:,Kreditkort navn
There is an issue with Refund at DR side,Refusionen kan ikke gennemføres af Digital River
Error! Please check your address and try again.,Fejl! Bekræft adresse og prøv igen. 
Failed to get Source! Please try again.,Kunne ikke hente Source. Prøv igen.
"One or more items in your cart cannot be purchased at this time. Please wait a minute and try placing your order again.","En eller flere varer i din kurv kan ikke købes på dette tidspunkt. Vent venligst og prøv at placere din ordre igen."
